reviewer_name,review_time,review,hotel_name
Omar Sheikh,4 months ago on,It was a great experience. The staff was very cooperative and efficient. The rooms were very clean. Even the restaurant had amazing food. It was truly a 5 star experience with a much more budget friendly price.,luxus grand hotel lahore
Gaming IQ,2 months ago on,"The Luxus Grand Hotel epitomizes opulence and sophistication. Its lavish accommodations, exquisite dining options, and impeccable service create an unforgettable experience for guests. With stunning architecture and attention to detail, …",luxus grand hotel lahore
Amna Sayyed,3 months ago on,Luxus grand hotel provide a luxurious experience from a moment you enter through its doors. Their rooms are ensuring a comfortable stay. The hotel's comfort making it a top choice for travellers.,luxus grand hotel lahore
Muhammad Muzammil,4 months ago on,"The Luxud Grand hotel is phenomenal! My style was amazing_ Luxurious rooms incredibly  staf who made me feel like a VIP, delicious food, and top_notch facilities including a relaxing pool and spa. Can't wait to return! Deserves it's 5_star rating",luxus grand hotel lahore
NVD AWR,4 months ago on,"I recently had the pleasure of staying at the Luxus Grand Hotel during my visit to Lahore, and I must say it exceeded all my expectations in terms of hospitality, rooms, service, and location. …",luxus grand hotel lahore
Mr Black0,a month ago on,This place is very good. I went recently there for a vacation. I was very Impressed for the service of the grand lexus Hotel and the food I got there was awsome. People must go there....,luxus grand hotel lahore
Zainab Fatima,4 months ago on,"Luxus Grand Hotel is an exquisite retreat in the heart of Lahore . From the elegant decor to the impeccable service, every detail reflects a commitment to luxury. The rooms are a perfect blend of modern charm and comfort, complemented by a …",luxus grand hotel lahore
Nausheen Shehzad,4 months ago on,"Excellent hotel and service... The hotel manager Ms Nosheen was excellent and we were really nice..
Outside location is bit bad but the hotel interior and the everything about this hotel is just too good... We had the best time...",luxus grand hotel lahore
95 • Mishal Aatif,4 months ago on,It was a very pleasant and heart warming experience with the hotel providing great services both in dinning and room service. I especially would like to appreciate how respectful and well organised the staff is & I hope to be visiting soon for another lovely holiday.,luxus grand hotel lahore
Jasim,4 months ago on,"Immerse yourself in a world of unparalleled luxury at this exquisite hotel. From sumptuous accommodations to impeccable service, every detail is designed to elevate your experience. Whether indulging in the lavish amenities or savoring the …",luxus grand hotel lahore
sami khan,4 months ago on,Best hotel in Lahore where can stay with a family and enjoy different type dishes manu with reasonable price. Services very fast. I suggest to every one to visit one time this hotel.,luxus grand hotel lahore
muhammad iqbal,4 months ago on,"Just as you step in you find yourself in such a cosy and friendly environment where cooperation and hosting level is so high, its more like being at home, yes with in your comfort zone, staff is humble and great and at your service 24/7 , I would recommend every one to visit and stay at this wonderful place.",luxus grand hotel lahore
Eman Shahzad,4 months ago on,"Very well trained and behaved staff . Highly hygienic food quality with on time room service. Excellent location, clean rooms and clean washrooms. The best thing was their well behaved staff. Will definitely come again.",luxus grand hotel lahore
fozan Athwal,4 months ago on,"Recently stayed at a luxus hotel  pure luxury! From the  decor to impeccable service, every detail was top-notch. The room boasted stunning views, and the staff's attention made it an unforgettable experience. Worth every penny!",luxus grand hotel lahore
Asbah Shahzad,3 months ago on,Opted for this hotel during my stay in Lahore for a week and I can't deny that this was probably the best experience i had in a hotel especially in Lahore. Huge fan of their tasty foods and if it were up to me I would definitely suggest picking this hotel as your go-to.,luxus grand hotel lahore
Shahzaib Khan,5 months ago on,"Lexus Hotel Pakistan exceeded all expectations with its impeccable service, luxurious accommodations, and attention to detail. From the warm welcome to the elegant rooms, every aspect of my stay was truly exceptional. A top-tier choice for those seeking a refined and memorable experience.",luxus grand hotel lahore
Fakhar Azam,4 months ago on,Great staff and rooms. The smorgasbord breakfast is generally excellent with a wide determination of food. The rooms are huge and very much selected with incredible perspectives,luxus grand hotel lahore
rimsha malik,2 months ago on,"The Luxus Grand Hotel exceeded all my expectations, their service made me stay truly unforgettable. Overall i highly recommend this hotel to anyone looking for a luxurious and memorable stay.",luxus grand hotel lahore
Jamil Ahmed,3 months ago on,Great experience. Mira was so kind and very caring and such a spark at the reception. She made sure my stay was so comfortable. Room was so comfortable and location is so peaceful.,luxus grand hotel lahore
T for Tik tok,4 months ago on,I am very happy fro their facilities.its have everything is so luxurious. it have best service.and good location very clean environment of it.so I'm very blessed about it.so i want to stay here everyone.,luxus grand hotel lahore
Qalbe Zainab,3 weeks ago on,"I recently stayed at Pearl Continental Lahore and had a remarkable experience. The housekeeping staff, in particular, were outstanding—meticulous, attentive, and always ready with a smile. They ensured my room was impeccably clean and …",Pearl Continental lahore
VL,2 weeks ago on,"I had the pleasure of staying at the Pearl Continental Hotel in Lahore for several months while working on a project in Pakistan, and I can confidently say that it is an outstanding hotel. From the moment I arrived, I was impressed by the …",Pearl Continental lahore
Messi L,2 weeks ago on,"I had an exceptional stay at the hotel, thanks to the impeccable service. Fahad at the reception was particularly outstanding, offering warm hospitality and efficient assistance. His friendly demeanor and attention to detail truly enhanced …",Pearl Continental lahore
Hudebia,a week ago on,"I just had to share what an amazing experience I had at the PC hotel, thanks to the team... Specially  Ansa...Your attention to detail and warm hospitality truly made my stay exceptional. The room was so cozy and clean and their …",Pearl Continental lahore
Jerrold D'souza,2 weeks ago on,"Pearl Continental Lahore: A Luxurious Stay in the City Center (with a Caveat)

The Pearl Continental Lahore boasts a prime location - right in the heart of the …",Pearl Continental lahore
Ishrat Fatima,a week ago on,"I recently visited this place. The location and food was perfect.There housekeeping services were too excellent and marvelous. Especially, Mr Aamir from housekeeping department and other staff members were really very kind and …",Pearl Continental lahore
Taimoor Khan,2 weeks ago on,"PC Lahore exceeded my expectations with its outstanding service. The housekeeping team deserves special mention for their diligence and attention to detail. My room was always spotless, making my stay extremely comfortable. Great job!",Pearl Continental lahore
Arsalan L,2 weeks ago on,PC lahore is one of my favourite hotels in Pakistan. It has amazing facilities and very cooperative staff. From check in to check out the staff supported us. They even upgraded my room. The gym and health club was nice as well. Rubab Najam from their staff assisted us during our stay.,Pearl Continental lahore
Mussawer Rehan,2 weeks ago on,"I recently stayed at PC Lahore and had a fantastic experience. The rooms were immaculate, thanks to the exceptional housekeeping staff. They were attentive, thorough, and ensured everything was perfect throughout my stay. Highly recommend!",Pearl Continental lahore
Ubaid Gull,a week ago on,"My experience at this hotel was absolutely fantastic! The staff's warmth and attention to detail made me feel right at home. Especially the Ansa, she were courteous, efficient and went out of their ways to ensure my stay was pretty much …",Pearl Continental lahore
Khola Abid,a week ago on,"We had a Hi Tea here today. Honestly, it was nothing compared to the prices we paid. Food quality and food range/diversity was below the par. …",Pearl Continental lahore
Mian,a week ago on,"Honestly, we very rarely give out a perfect score. The location, staff and amenities were unparalleled. Rooms were spacious and clean. Even the care taken at check out by the receptionist & the porter was amazing. One of the best experiences to be had in Lahore.",Pearl Continental lahore
Saima I,2 weeks ago on,My 2 nights at PC were comfortable and welcoming. Fahad ( front desk) ensured to confirm the hotel drop off time as that was the only question i had for him. The staff and service was impeccable! i will certainly stay again and recommend to friends and family :),Pearl Continental lahore
Mehwish Haris,2 weeks ago on,"The front office staff at this hotel deserve all the praise. Especially Sumren and Mehak. They were efficient, courteous, and went out of their way to ensure my stay was comfortable. I had a few special requests during my visit, and each …",Pearl Continental lahore
Muhammad Ihtsham,a week ago on,Unbelievable experience. The Housekeeping staff is very friendly and always willing to assist. Enjoyed the lounge and the breakfast. A special thanks to Housekeeping staff for making my stay a memorable experience. Highly recommend.,Pearl Continental lahore
Athar Bashir,a week ago on,"I had a fantastic stay recently. The rooms were comfortable, and the service was excellent. A special thanks to Ansa for her exceptional support throughout my stay—her kindness and attention to detail made all the difference. Highly recommend!",Pearl Continental lahore
Chaudary Ahmad,a week ago on,"The staff at this hotel deserve all the praise. Especially Ansa. They were efficient, courteous, and went out of their way to ensure my stay was comfortable. Rooms are also luxurious and comfy.I look forward to my next stay!""",Pearl Continental lahore
Aziz Hamdan,a week ago on,Amazing suprise. Good property rooms cleaned and well maintained. IT team were great and guest services catered for every need. We even had a major even there and it was well catered for. Only wish is they add more restaurants.,Pearl Continental lahore
Salman Sarwar,2 months ago on,"**Luxurious Excellence at its Finest**

My stay at the PC hotel was nothing short of exceptional. From the moment I …",Pearl Continental lahore
Usman Anwer,a week ago on,"Having visited several hotels in Lahore, I must say that Pearl Continental Hotel is somewhat disappointing in comparison. It seems to adhere too closely to the traditional hoteling model, which can sometimes result in a less-than-stellar …",Pearl Continental lahore
Moeez Ahmed,3 weeks ago on,"It was a great experience, but their food is not up to the mark. It's quite basic, so I don't recommend it if you're planning a high tea at Marco Polo or a sandwich at Nadia Restaurant. Dum pukht was good but it opens at 7Pm. For staying, meetings, and conferences, if you've a good budget it's a good place with ample parking.",Pearl Continental lahore
Nab S,2 weeks ago on,"I believe it's time for PC to renovate their rooms and specially the furniture, carpet and washroom items. However, nice to see Mehak back in PC. |Furthermore, services also need attention too. For example, items of breakfast are same since …",Pearl Continental lahore
Faiza S,3 weeks ago on,My experience was excellent. My stay was vey convenient and peaceful.||Rubab at desk office was very helpful and her attitude was cooperative and pleasing. ||PC has very pleasing environment. Staff is very cooperative. I really enjoyed being here.,Pearl Continental lahore
Trip.com Member,a month ago on,"Despite the design of the hotel are good, with many different choices of restaurants but I need to complain the counter staffs' service.Moving slow and face look cold, not active nor friendly, suggest to have some training to enhance their …",Pearl Continental lahore
Saima Malik,a month ago on,We came to visit Lahore from USA and i am assuming all these 5 start reviews are either fake or according to Pakistani standards since people don’t really have any standards when it comes to comfort and cleanliness. First of all its is very …,Pearl Continental lahore
Mueid S,2 weeks ago on,Smooth process . Super helpful reception . Usama was particularly very helpful  in checking in. The rooms were nice and the breakfast was also very good ||I have stayed several times in the facility and always had good stay. Fully recommended .,Pearl Continental lahore
Sylvester Samson,4 months ago on,My experience at this hotel was absolutely fantastic! The staff's warmth and attention to detail made me feel right at home. The room was not only comfortable but also maintained a high standard of cleanliness. The amenities were …,Pearl Continental lahore
Tahir Afzal,a month ago on,"Very luxurious hotel in Lahore, The staff was very friendly and helpful.
I shared the room with one of my colleagues, the room was very modern, all facilities. My one complaint would be that the aircon was a lot noisier than other …",Pearl Continental lahore
B HS,3 weeks ago on,"Overall a very pleasant stay, perfect location and service. Check in was very smooth, it was done by Jawwad who did an excellent service, went above and beyond to make it as smooth as possible. …",Pearl Continental lahore
HAFIZ ARSLAN AZMAT,a month ago on,"I was consistently impressed by the professionalism of the housekeeping staff. They maintained a high standard of cleanliness in my room, ensuring it was always a comfortable retreat. highly recommend this hotel for its excellent housekeeping service and commitment to guest satisfaction.",Pearl Continental lahore
Zanib Zafar,a week ago on,It was a great experience. All staff is very friendly and helpful. Good service mostly the housekeeping that are coming to clean my room approachable staff friendly face. Highly recommended to Mr Naeem liaqat for making my stay comfortable.,Pearl Continental lahore
Abdul Wajid,a week ago on,"Stayed for two nights as participant of UNHCR retreat. Provided with stinky room and mattress. It appears that word ""company "" being used by hotel generalizes the guests of pharmaceutical companies with other. This has created a mindset. …",Pearl Continental lahore
Ali Riaz,4 months ago on,"I recently had the opportunity to stay at Pearl Continental Hotel in Lahore and had a delightful experience. The hotel's central location in Lahore adds to its charm, making it convenient for both business and leisure travelers. …",Pearl Continental lahore
Noor A.,a week ago on,"I recently had the pleasure of staying at the Pearl Continental Hotel in Lahore and it was an exceptional experience. The facilities are top-notch, with luxurious rooms and a variety of dining options that cater to all tastes. However, what …",Pearl Continental lahore
tayyab raza,a month ago on,"During my three-day stay at Pearl Continental, I was impressed by the exceptional service provided by the housekeeping staff. Their attention to detail and dedication to ensuring a comfortable and clean environment truly enhanced my experience at the hotel. I highly commend their professionalism and commitment to excellence.",Pearl Continental lahore
Tool time tips,a week ago on,A big thank you to Miss Sumren. She was  instrumental in making our stay comfortable and enjoyable. Her attention to detail and proactive approach in resolving issues was impressive.,Pearl Continental lahore
Aftab Ejaz,3 weeks ago on,"I’ve stayed a few times and never had problems and I’d normally give 5 stars. But this time round there were some serious errors made. Error 1: We had an undisclosed bill added to our room 552. The amount of 121,621.000 rupees from the …",Pearl Continental lahore
Shahzad Ahmed,2 weeks ago on,"Pearl continental is always a brilliant place to spend some lovely time together.
Last night I was there after a long break, but I was surprised by two things. …",Pearl Continental lahore
Subhan Khan (k Subhan),4 months ago on,"I recently had the pleasure of staying at Pearl Continental Hotel, and it exceeded my expectations in every way. The staff was incredibly friendly and accommodating, making check-in seamless. The room was spotlessly clean, well-appointed, …",Pearl Continental lahore
Usman Ghani,4 months ago on,"I stayed at Pearl Continental Hotel for two nights and I had a wonderful experience. The hotel is located in the heart of Lahore, close to many attractions and landmarks. The staff was very friendly and helpful, and they made me feel …",Pearl Continental lahore
Sairish,4 months ago on,"Lovely stay, came with my family, the staff are very accommodating & friendly, the amenities within the hotel are exceptional, so many restaurants which such variety. However the AC within our room was not working and the carpet is quite …",Pearl Continental lahore
Nazir Ahmed Kehar,4 months ago on,"I recently had the pleasure of dining at this fantastic restaurant in our city, and I must say, it exceeded all my expectations! The food was absolutely delicious, and the service was top-notch. The desserts were a real standout - they were …",Pearl Continental lahore
Ammar (AmmarT),2 weeks ago on,"Exceptional Recovery and Great Hospitality

I recently stayed at this hotel, and my experience began on a negative note due …",Pearl Continental lahore
Abdul Basit Mahar,2 weeks ago on,"Amazing stay. Room was upto the standards and staff was really nice.
Front Desk Officer Ms. Rubab was really good and provided services as desired.
Will stay here again in future. …",Pearl Continental lahore
Romano Yusuf,a week ago on,"Good hotel overall. If you are  on foot,Getting into and out of the premises is a nuisance. Every gate has it's Dos and Don'ts. And of course, management hasn't given pedestrians a thought, so it's not a pleasant experience. Is anyone from hotel management reading this??",Pearl Continental lahore
Ahmad Mughal,2 months ago on,"I recently stayed at this hotel and had a wonderful time! The lobby was grand, the staff was cooperative, and the concierge manager, Zahid, was incredibly kind and efficient in helping us with a few things. He even arranged the best guide, …",Pearl Continental lahore
Syed Asim Ali Shah,2 months ago on,"Pearl Continental Hotel Lahore offers a luxurious stay with impeccable service. The rooms are elegant and well-maintained, providing a comfortable retreat. The hotel's dining options are exceptional, offering a variety of delicious …",Pearl Continental lahore
Faheem Siddiqui,a month ago on,"I recently had the pleasure of staying at PC Lahore, and it was a truly excellent experience. I would like to express my sincere appreciation to Ms. Rubab for her outstanding hospitality and assistance. Her kindness and facilitation went above and beyond, making my stay truly memorable.",Pearl Continental lahore
umar Ali,4 months ago on,"Pearl Continental offers an exceptional blend of luxury and hospitality, creating an unforgettable stay. From the moment I stepped into the grand lobby, I was greeted with warmth and sophistication. The rooms are elegantly designed, …",Pearl Continental lahore
Nassar Khawn,2 weeks ago on,"My visit at the PC inn was downright extraordinary. From the second I ventured into the hall, I was welcomed with warmth and amazing skill. The atmosphere radiated complexity, with classy style and meticulousness clear in each corner. …",Pearl Continental lahore
Muhammad Ali K,3 weeks ago on,"Everything was good, we enjoyed out stay!|mr shaheen and miss rubab miss nazia ansa kareem at reception have been very welcoming and cooperative. Very good stay mr shaheen was very helpful and co operative during all stay thanks pc for a good stay",Pearl Continental lahore
arooba manzoor,4 months ago on,"I recently stayed at Pearl Continental Hotel Lahore and had a fantastic experience. The luxurious ambiance, impeccable service, and attention to detail exceeded my expectations. The rooms were spacious and well-appointed, offering a …",Pearl Continental lahore
Galaxy World,2 weeks ago on,"Sumren and Mehak from guest relations was exceptional! They greeted us with a smile and ensured we had everything we needed throughout our stay. Their dedication to customer satisfaction is evident, and we are grateful for their  efforts.",Pearl Continental lahore
Sajjad Awan,a week ago on,"Whole environmental was very comfortably and staff members having professional approach toward their guest.
I have awesome outstanding experience with one of staff who is from house …",Pearl Continental lahore
adam,a week ago on,"I stayed for 1 week, the service was excellent, the breakfast was amazing with a huge variety. When checking out I forgot my charger in the room, I contacted the hotel and spoke to Mohammed Tayyib who was very helpful as he found my charger …",Pearl Continental lahore
Asjad Lodhi,3 weeks ago on,"I have been PC Lahore's customer from the past 2 years almost and I had always been treated as it is my second home. Their services, food and rooms specially the deluxe suites are best for the family and individual stays. Recently I got …",Pearl Continental lahore
Muneeb Nazar,a week ago on,"Housekeeping Doing a Great Job. All Staff was Humble and Specially Housekeeping team deserve special mention for their diligence and attention to detail.My room was Always spotless,making my saty extremely comfortable.Great Job!",Pearl Continental lahore
Lofi with Faizi,4 months ago on,"Staying at this hotel was an absolute delight! From the moment we checked in, the staff went above and beyond to ensure our comfort and satisfaction. The room was spacious, clean, and beautifully decorated, providing a relaxing haven after …",Pearl Continental lahore
waqas qureshi,4 months ago on,"I had an amazing experience with PC hotel, Lahore branch. Their services, attitude and customer care is remarkable. Also I am impressed by the quality and taste of food. …",Pearl Continental lahore
Faisal Davet,5 months ago on,"I recently had the pleasure of staying at PC Hotel Lahore, and I must say it was an exceptional experience from start to finish. …",Pearl Continental lahore
Khuram Gulzar,4 months ago on,"The rooms were like a dream, so spacious and comfy. The staff was also super friendly and went out of their way to make me feel special. If you're in Lahore and want a top-notch experience, this place is the real deal. Five stars all the way!",Pearl Continental lahore
Hassan Awan,a week ago on,"A Memorable trip by all means, we enjoyed our time a lot, the Hotel is so luxurious, and the Housekeeping Staff is extremely dedicated and keen to make your trip comfortable and enjoyable.",Pearl Continental lahore
Zaman Raza,a week ago on,"Amazing and comfortable stay, room was neat and tidy, great customer service.Housekeeping staff incredibly and professional.
Naeem liaqat highly recommend his professional customer service.
He made our stay worthwhile",Pearl Continental lahore
Tazeem Hussain,5 months ago on,"Certainly! Here's a review for PC Hotel Lahore:

""I recently had the pleasure of staying at PC Hotel Lahore, and I must say it …",Pearl Continental lahore
Shazma Rahman,2 weeks ago on,"Naeem Liaqat was extremely helpful and attentive. He made our room spotless, cleaned it extrwmelt well. He helped us with the things which were missing in the room. The hotel experience has been lovely and the staff are all so friendly.",Pearl Continental lahore
sana's studio,a week ago on,There staff are very hard working people. The one's that left an impression were the front office staff. Ansa was very kind hearted and help throughout the process. Will visit soon.,Pearl Continental lahore
Fawad Alam,4 weeks ago on,"Worst experience... Stayed three days due to official visit but had a very bad experience. Too much noise in AC, washroom services pathetic, too much noise from shower. No cleaning services. Room service is very bad. Only they came to …",Pearl Continental lahore
Mohsin Amin,4 months ago on,"Nestled in Lahore's heart, Pearl Continental Hotel embodies luxury and grandeur. As you enter, you're embraced by sophistication. The rooms are beautifully designed, offering comfort and style. The toilets are luxurious, with modern …",Pearl Continental lahore
Faisal Rehman,2 weeks ago on,"Fantastic visit of PC Lahore, it's a brand throughout the Pakistan. Very neat and clean hotel, overall staff is very cooperative, specially appreciation for housekeeping staff for maintain cleaning in such a huge property.",Pearl Continental lahore
Ralf Deckarm,2 weeks ago on,"Comfortable 5 Star Hotel in Lahore. Great Location.
Rooms are clean and neat. Staff is very friendly.
Recommended",Pearl Continental lahore
Asad Muhib,2 months ago on,"I had pleasure to stay with PC Lahore with calm, clean and hygienic environment. though, I did not found very pleasant service or politeness of staff. complimentary food was also not upto the bench mark of competitors. well, its a healthy …",Pearl Continental lahore
Muhammad Kaleem,a month ago on,"My stay at Pearl Continental Lahore was superb. The housekeeping staff's attention to detail was remarkable, ensuring a pristine room every day. From start to finish, the experience was nothing short of amazing.",Pearl Continental lahore
Jahangir S,3 weeks ago on,Room was too small with a 90s tv on the wall and an empty fridge with mould inside. the decor was dull. The only thing that was inspiring was the lobby. Being a local I couldn’t access the bar on the second floor but was allowed to order drinks in my room.,Pearl Continental lahore
Qasim Yar Muhammad,2 weeks ago on,"Our stay at PC was incredible. We were with an international team and Sheriyar helped us arrange the meetings very well. He was very kind and responsive on all matters related to logistics. Our team from PwC Turkey and Islamabad both liked the way everything was handled.
A.f. Ferguson team",Pearl Continental lahore
Mubashir Riaz,2 weeks ago on,Overall good experiance but your standard rooms cannot be considered as 5 start hotel rooms. Old furniture with outdated stuff..Breakfast for kid of 9 yrs is too expensive about Rs 4400 including tax.,Pearl Continental lahore
Rizwan Nawaz,a week ago on,"The staff at this hotel deserve all the Especially Ansa Dildar.They were efficient, courteous and went out of their way to ensure my stay was comfortable.Room are also luxurious and comfy. I look forward to my next stay. ❣️☺️",Pearl Continental lahore
Afzaal Akram,2 months ago on,"Have visited Pearl Continental Hotel Lahore multiple times, and each experience has been exceptional. Their services are top-notch, from the warm welcome at check-in to the attentive staff throughout the stay. The location is perfect, …",Pearl Continental lahore
bismillahG/S786@gmail.com 3222222652,a week ago on,The room were spacious clean and well maintained.The location was perfect close to the city.the hotel had great facilities housekeeping staff was very friendly and helpful. …,Pearl Continental lahore
PN Enterprises,a month ago on,"""We had a fantastic stay at PC Hotel Lahore! The hotel's ambiance is warm and welcoming, the rooms are spacious and well-appointed, and the service is impeccable. We can't wait to return. Highly recommended❤",Pearl Continental lahore
K Malik,3 months ago on,"I booked this hotel thinking it’d be a 5-star hotel as it depicts on the website, this cannot be further from the truth. …",Pearl Continental lahore
Umer Umer,a week ago on,The best hotel we have ever stayed all staff is very friendly and helpful room was was clean and up to the mark. Naeem Liaqat very good person highly recommend. To housekeeping,Pearl Continental lahore
Iffrahim Shahzad,2 weeks ago on,"I recently stayed at PEARL CONTINENTAL HOTEL LAHORE , and I am pleased to share my experience with the guest relations team.
The check-in process was smooth, efficient, and friendly as well. …",Pearl Continental lahore
Parveen Akhtar,a month ago on,"Everything found perfect during my stay in the Pearl Continental Hotel, Lahore. Fully enjoyed and found very neat and clean hotel. Housekeeping team is very professional, well mannered and polite.",Pearl Continental lahore
Saqib Muneer,5 months ago on,"Pearl Continental Hotel offers a luxurious experience with its elegant decor, spacious rooms, and attentive staff. The diverse dining options cater to various tastes, ensuring a delightful culinary journey. The hotel's central location …",Pearl Continental lahore
Muhammad Junaid Ul Haq (MJ Crash),4 weeks ago on,Good luxurious hotel. Very clean. But electrical appliances and bathroom fixtures are very old and not changed hence you have to call the maintenance service now and than to fix them. But they only do temporary fix. They do not change them .,Pearl Continental lahore
Ifta Kakazai,2 weeks ago on,"Miss Sumren from the guest relations team was phenomenal! From the moment we checked in, she made us feel incredibly welcome and went out of her way to ensure our stay was perfect. She provided excellent recommendations for local …",Pearl Continental lahore
Junaid Ali,a week ago on,"He made our room spotless and clean.
The hotel experience has been lovely and the staff was very helpful.
Naeem liaqat was extremely helpful highly recommend.",Pearl Continental lahore
Faad Shehzad,4 months ago on,"It has come to my attention that some clients are soliciting paid reviews for Pearl Continental Hotel Lahore. While I understand the allure of financial incentives, I believe in maintaining the integrity of honest feedback. It is my …",Pearl Continental lahore
eli aslam,3 months ago on,"Amazing comfortable stay, lovely experience.
Clean rooms
Great customer service. …",Pearl Continental lahore
Muhammad Wajid,4 months ago on,"I think so this hotel best for party , birthday.  University farewell. Guests living,  giving to good hospitality and Customer caring. Specifically this hotel for foreign tourists and comfortable accommodation. You have ease and getting everything also.  Every staff working doing well and good.",Pearl Continental lahore
M Anwar,2 weeks ago on,"We made use of the restaurant buffet and my god the food here is incredible, the quality of the hotel is phenomenal, you step into luxury. The quality of the food was 10/10, the mains and starters were fresh, some of the salad bar items …",The Nishat Hotel
afaq s,2 weeks ago on,"Absolutely incredible experience! From the moment we arrived, the staff at The nishat hotel went above and beyond to ensure our stay was perfect. The room was luxurious, immaculate, and offered stunning views. Every meal at the hotel's …",The Nishat Hotel
Faizan Ahmad,a month ago on,"Fantastic encounter! A 5-star rating is unworthy of any doublet. Overall, it was a really positive experience. The rooms were clean, and the staff was really helpful and nice. Everything was excellent. Particularly, the food they provided tasted excellent. I had a great time here overall. Extremely recommended",The Nishat Hotel
Usman Khan Y,4 weeks ago on,"I have often stayed at Nishat Hotel and found this stay to be one of my best. I can safely state that this is the only 5 star hotel in Lahore in terms of cleanliness, food and service. There are two things that separates a 3-4 star …",The Nishat Hotel
Mudasar Rasool,2 weeks ago on,"A nice experience there. Staying at Nishat Hotel in Johar Town, Lahore is always a great experience. The comfort and warmth is  amazing. I want to thank the housekeeping team for their friendly service, which made my stay even better. I hope you will also  enjoy your stay here at this hotel.",The Nishat Hotel
Manuel Anthony,2 months ago on,"An exceptional experience from start to finish! This hotel deserves every one of its 5 stars. From the moment we arrived, we were treated like royalty. The staff were incredibly friendly and accommodating, always going above and beyond to …",The Nishat Hotel
Hanzala ch,a month ago on,"I'm extremely pleased with the services provided by this hotel. The staff and management here are exceptional. I highly recommend visiting this place; you'll thoroughly enjoy your experience. The room was luxurious, spacious, and …",The Nishat Hotel
Hassan U,2 weeks ago on,"Umer Mushtaq, Food quality is good , ambiance is excellent , highly recommended for a good experience with your family. food quality and staff behaviour is extremely good. best hi tea in the town. hotel experience is also very good, one of the best hotel chain in pakistan .",The Nishat Hotel
Raheel niaz,2 weeks ago on,"Choosing Nishat for a staycation was the best decision! From the moment I arrived, I felt like I was in a world of luxury and relaxation. The ambiance of the hotel is inviting, with stylish decor and comfortable furnishings. The room was …",The Nishat Hotel
Irfan Hasani,2 months ago on,"Beautiful setting, captivating interior design.
Exceptional service the whole time we were there. The room was opulent, exquisitely furnished, spotless, extraordinarily cozy, and generously proportioned. …",The Nishat Hotel
,,,The Nishat Hotel
,,,The Nishat Hotel
,,,The Nishat Hotel
Faisal Mushtaq,2 months ago on,"In my experience, the culinary journey exceeded all expectations, with each plate carefully curated to perfection. Whether it was a hearty breakfast or a high-end dinner, the diverse selection and top-notch quality of the food were a …",The Nishat Hotel
Zahid R,a month ago on,Just had another best experience at Nishat. What a thorough gentleman duty manager Faraz Ahmed. My check in process was very smooth cause of him. His work ethic is very professional. Had problem with lights blinking in my room and it was …,The Nishat Hotel
Jose Lopez,2 months ago on,"The hotel staff is extremely friendly to guests. You can find the typical European/American breakfast but also local food, which may not please everyone since it is spicy and often oily – personally, I find it delicious. On the other hand, …",The Nishat Hotel
Majeed Ahmed,a month ago on,"Staying at this hotel was more than nice; it was fantastic! From the friendly staff to the cozy rooms, everything exceeded expectations. The attention to detail made me feel truly pampered, and the delicious food was the cherry on top. …",The Nishat Hotel
Jamil Ahmad,a week ago on,"It was a night stay to attend a ceremony, my first time there. It's located at a very approachable place especially one coming from M2 motorway Thoker interchange. Rooms a well equiped with all the required items to make the stay …",The Nishat Hotel
Huzail K,4 weeks ago on,"Amazing experience. Cooperative staff. Excellent ambiance. ||Staff so professional. They were always there to help out with any query. The food was fresh, tasted amazing and exceeded our expectations. #1 go-to option for us from now on definitely!",The Nishat Hotel
Roma Isha,2 months ago on,Great experience! No doublet deserves 5-star rating. From start to end it was very good experience. The staff as very kind and cooperative and the rooms were cleaned. Everything was very fine. Specially the meal they served had a great taste. Overall enjoyed my stay here. Highly recommended.,The Nishat Hotel
Umair Zaman,a month ago on,"Wonderful area, Charming stylistic layout.
Unimaginable benefit all through our whole remain. The room was sumptuous, flawlessly enhanced, clean, inconceivably comfortable and roomy. No clamor or …",The Nishat Hotel
Naveed Chishti,2 weeks ago on,"Services were good.
Food quality and quantity both were good but taste was not as expected. You need to improve taste. …",The Nishat Hotel
Hassan Arif,3 months ago on,"""Absolutely seductive stay! From the moment we stepped into the lobby, we were enveloped in luxury and charm. Our room was a haven of comfort and elegance, with plush bedding and stunning city views that set the mood just right. The …",The Nishat Hotel
Saad Tariq,a week ago on,"We had a wonderful stay here in the hotel. Excellent staff services.
Mr. Zahoor Ahmed especially took care of us in a very professional manner. Highly impressed from the services.",The Nishat Hotel
Muhammad Talha Riaz,2 weeks ago on,"I recently dined at Nishat Bistro and had a wonderful experience! The service was exceptional, with Zahoor being incredibly kind and attentive. The ambiance of the restaurant is also fantastic, creating a comfortable and enjoyable dining atmosphere. Highly recommend!",The Nishat Hotel
Usman Arain,2 months ago on,"""Staying in this hotel room feels like stepping into a sanctuary of luxury and comfort. From the plush bedding to the elegant decor, every detail has been meticulously curated to create a haven of relaxation. With breathtaking views and impeccable service, every moment here is a cherished memory in the making.""",The Nishat Hotel
Jet49366440990,2 weeks ago on,Great hospitality by the hospital personnel especially Mehak during our breakfast. Great food selection of food with great hotel rooms. Great ambience with friendly and attentive staffs that will greatly and willingly help international guest felling comfortable during the stay.,The Nishat Hotel
